Title,ArtistId
For Those About To Rock We Salute You,"1"
Balls to the Wall,"2"
Restless and Wild,"2"
Let There Be Rock,"1"
Big Ones,"3"
Jagged Little Pill,"4"
Facelift,"5"
Warner 25 Anos,"6"
Plays Metallica By Four Cellos,"7"
Audioslave,"8"
Out Of Exile,"8"
BackBeat Soundtrack,"9"
The Best Of Billy Cobham,"10"
Alcohol Fueled Brewtality Live! [Disc 1],"11"
Alcohol Fueled Brewtality Live! [Disc 2],"11"
Black Sabbath,"12"
Black Sabbath Vol. 4 (Remaster),"12"
Body Count,"13"
Chemical Wedding,"14"
The Best Of Buddy Guy - The Millenium Collection,"15"
Prenda Minha,"16"
Sozinho Remix Ao Vivo,"16"
Minha Historia,"17"
Afrociberdelia,"18"
Da Lama Ao Caos,"18"
Acústico MTV [Live],"19"
Cidade Negra - Hits,"19"
Na Pista,"20"
Axé Bahia 2001,"21"
BBC Sessions [Disc 1] [Live],"22"
Bongo Fury,"23"
Carnaval 2001,"21"
Chill: Brazil (Disc 1),"24"
Chill: Brazil (Disc 2),"6"
Garage Inc. (Disc 1),"50"
Greatest Hits II,"51"
Greatest Kiss,"52"
Heart of the Night,"53"
International Superhits,"54"
Into The Light,"55"
Meus Momentos,"56"
Minha História,"57"
MK III The Final Concerts [Disc 1],"58"
Physical Graffiti [Disc 1],"22"
Sambas De Enredo 2001,"21"
Supernatural,"59"
The Best of Ed Motta,"37"
The Essential Miles Davis [Disc 1],"68"
The Essential Miles Davis [Disc 2],"68"
The Final Concerts (Disc 2),"58"
Up An' Atom,"69"
Vinícius De Moraes - Sem Limite,"70"
Vozes do MPB,"21"
"Chronicle, Vol. 1","76"
"Chronicle, Vol. 2","76"
Cássia Eller - Coleção Sem Limite [Disc 2],"77"
Cássia Eller - Sem Limite [Disc 1],"77"
Come Taste The Band,"58"
Deep Purple In Rock,"58"
Fireball,"58"
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,"58"
Machine Head,"58"
Purpendicular,"58"
Slaves And Masters,"58"
Stormbringer,"58"
The Battle Rages On,"58"
Vault: Def Leppard's Greatest Hits,"78"
Outbreak,"79"
Djavan Ao Vivo - Vol. 02,"80"
Djavan Ao Vivo - Vol. 1,"80"
Elis Regina-Minha História,"41"
The Cream Of Clapton,"81"
Unplugged,"81"
Album Of The Year,"82"
Angel Dust,"82"
King For A Day Fool For A Lifetime,"82"
The Real Thing,"82"
Deixa Entrar,"83"
In Your Honor [Disc 1],"84"
In Your Honor [Disc 2],"84"
One By One,"84"
The Colour And The Shape,"84"
My Way: The Best Of Frank Sinatra [Disc 1],"85"
Roda De Funk,"86"
As Canções de Eu Tu Eles,"27"
Quanta Gente Veio Ver (Live),"27"
Quanta Gente Veio ver--Bônus De Carnaval,"27"
Faceless,"87"
American Idiot,"54"
Appetite for Destruction,"88"
Use Your Illusion I,"88"
Use Your Illusion II,"88"
Blue Moods,"89"
A Matter of Life and Death,"90"
A Real Dead One,"90"
A Real Live One,"90"
Brave New World,"90"
Dance Of Death,"90"
Fear Of The Dark,"90"
Iron Maiden,"90"
Killers,"90"
Live After Death,"90"
Live At Donington 1992 (Disc 1),"90"
Live At Donington 1992 (Disc 2),"90"
No Prayer For The Dying,"90"
Piece Of Mind,"90"
Powerslave,"90"
Rock In Rio [CD1],"90"
Rock In Rio [CD2],"90"
Seventh Son of a Seventh Son,"90"
Somewhere in Time,"90"
The Number of The Beast,"90"
The X Factor,"90"
Virtual XI,"90"
Sex Machine,"91"
Emergency On Planet Earth,"92"
Synkronized,"92"
The Return Of The Space Cowboy,"92"
Get Born,"93"
Are You Experienced?,"94"
Surfing with the Alien (Remastered),"95"
Jorge Ben Jor 25 Anos,"46"
Jota Quest-1995,"96"
Cafezinho,"97"
Living After Midnight,"98"
Unplugged [Live],"52"
BBC Sessions [Disc 2] [Live],"22"
Coda,"22"
Houses Of The Holy,"22"
In Through The Out Door,"22"
IV,"22"
Led Zeppelin I,"22"
Led Zeppelin II,"22"
Led Zeppelin III,"22"
Physical Graffiti [Disc 2],"22"
Presence,"22"
The Song Remains The Same (Disc 1),"22"
The Song Remains The Same (Disc 2),"22"
A TempestadeTempestade Ou O Livro Dos Dias,"99"
Mais Do Mesmo,"99"
Greatest Hits,"100"
Lulu Santos - RCA 100 Anos De Música - Álbum 01,"101"
Lulu Santos - RCA 100 Anos De Música - Álbum 02,"101"
Misplaced Childhood,"102"
Barulhinho Bom,"103"
Seek And Shall Find: More Of The Best (1963-1981),"104"
The Best Of Men At Work,"105"
Black Album,"50"
Garage Inc. (Disc 2),"50"
Kill 'Em All,"50"
Load,"50"
Master Of Puppets,"50"
ReLoad,"50"
Ride The Lightning,"50"
St. Anger,"50"
...And Justice For All,"50"
Miles Ahead,"68"
Milton Nascimento Ao Vivo,"42"
Minas,"42"
Ace Of Spades,"106"
Demorou...,"108"
Motley Crue Greatest Hits,"109"
From The Muddy Banks Of The Wishkah [Live],"110"
Nevermind,"110"
Compositores,"111"
Olodum,"112"
Acústico MTV,"113"
Arquivo II,"113"
Arquivo Os Paralamas Do Sucesso,"113"
Bark at the Moon (Remastered),"114"
Blizzard of Ozz,"114"
Diary of a Madman (Remastered),"114"
No More Tears (Remastered),"114"
Tribute,"114"
Walking Into Clarksdale,"115"
Original Soundtracks 1,"116"
The Beast Live,"117"
Live On Two Legs [Live],"118"
Pearl Jam,"118"
Riot Act,"118"
Ten,"118"
Vs.,"118"
Dark Side Of The Moon,"120"
Os Cães Ladram Mas A Caravana Não Pára,"121"
Greatest Hits I,"51"
News Of The World,"51"
Out Of Time,"122"
Green,"124"
New Adventures In Hi-Fi,"124"
The Best Of R.E.M.: The IRS Years,"124"
Cesta Básica,"125"
Raul Seixas,"126"
Blood Sugar Sex Magik,"127"
By The Way,"127"
Californication,"127"
Retrospective I (1974-1980),"128"
Santana - As Years Go By,"59"
Santana Live,"59"
Maquinarama,"130"
O Samba Poconé,"130"
Judas 0: B-Sides and Rarities,"131"
Rotten Apples: Greatest Hits,"131"
A-Sides,"132"
Morning Dance,"53"
In Step,"133"
Core,"134"
Mezmerize,"135"
[1997] Black Light Syndrome,"136"
Live [Disc 1],"137"
Live [Disc 2],"137"
The Singles,"138"
Beyond Good And Evil,"139"
"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]","139"
The Doors,"140"
The Police Greatest Hits,"141"
"Hot Rocks, 1964-1971 (Disc 1)","142"
No Security,"142"
Voodoo Lounge,"142"
Tangents,"143"
Transmission,"143"
My Generation - The Very Best Of The Who,"144"
Serie Sem Limite (Disc 1),"145"
Serie Sem Limite (Disc 2),"145"
Acústico,"146"
Volume Dois,"146"
Battlestar Galactica: The Story So Far,"147"
"Battlestar Galactica, Season 3","147"
"Heroes, Season 1","148"
"Lost, Season 3","149"
"Lost, Season 1","149"
"Lost, Season 2","149"
Achtung Baby,"150"
All That You Can't Leave Behind,"150"
B-Sides 1980-1990,"150"
How To Dismantle An Atomic Bomb,"150"
Pop,"150"
Rattle And Hum,"150"
The Best Of 1980-1990,"150"
War,"150"
Zooropa,"150"
UB40 The Best Of - Volume Two [UK],"151"
Diver Down,"152"
"The Best Of Van Halen, Vol. I","152"
Van Halen,"152"
Van Halen III,"152"
Contraband,"153"
Vinicius De Moraes,"72"
Ao Vivo [IMPORT],"155"
"The Office, Season 1","156"
"The Office, Season 2","156"
"The Office, Season 3","156"
Un-Led-Ed,"157"
"Battlestar Galactica (Classic), Season 1","158"
Aquaman,"159"
Instant Karma: The Amnesty International Campaign to Save Darfur,"150"
Speak of the Devil,"114"
20th Century Masters - The Millennium Collection: The Best of Scorpions,"179"
House of Pain,"180"
Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,"36"
Cake: B-Sides and Rarities,"196"
"LOST, Season 4","149"
Quiet Songs,"197"
Muso Ko,"198"
Realize,"199"
Every Kind of Light,"200"
Duos II,"201"
Worlds,"202"
The Best of Beethoven,"203"
Temple of the Dog,"204"
Carry On,"205"
Revelations,"8"
Adorate Deum: Gregorian Chant from the Proper of the Mass,"206"
Allegri: Miserere,"207"
Pachelbel: Canon & Gigue,"208"
Vivaldi: The Four Seasons,"209"
Bach: Violin Concertos,"210"
Bach: Goldberg Variations,"211"
Bach: The Cello Suites,"212"
Handel: The Messiah (Highlights),"213"
The World of Classical Favourites,"214"
Sir Neville Marriner: A Celebration,"215"
Mozart: Wind Concertos,"216"
Haydn: Symphonies 99 - 104,"217"
Beethoven: Symhonies Nos. 5 & 6,"218"
A Soprano Inspired,"219"
Great Opera Choruses,"220"
Wagner: Favourite Overtures,"221"
"Fauré: Requiem, Ravel: Pavane & Others","222"
Tchaikovsky: The Nutcracker,"223"
The Last Night of the Proms,"224"
Puccini: Madama Butterfly - Highlights,"225"
"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies","226"
Pavarotti's Opera Made Easy,"227"
Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,"228"
Carmina Burana,"229"
"A Copland Celebration, Vol. I","230"
Bach: Toccata & Fugue in D Minor,"231"
Prokofiev: Symphony No.1,"232"
Scheherazade,"233"
Bach: The Brandenburg Concertos,"234"
Chopin: Piano Concertos Nos. 1 & 2,"235"
Mascagni: Cavalleria Rusticana,"236"
Sibelius: Finlandia,"237"
Beethoven Piano Sonatas: Moonlight & Pastorale,"238"
Great Recordings of the Century - Mahler: Das Lied von der Erde,"240"
Elgar: Cello Concerto & Vaughan Williams: Fantasias,"241"
"Adams, John: The Chairman Dances","242"
"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory","243"
Palestrina: Missa Papae Marcelli & Allegri: Miserere,"244"
Prokofiev: Romeo & Juliet,"245"
Strauss: Waltzes,"226"
Berlioz: Symphonie Fantastique,"245"
Bizet: Carmen Highlights,"246"
English Renaissance,"247"
Handel: Music for the Royal Fireworks (Original Version 1749),"208"
Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,"248"
Mozart Gala: Famous Arias,"249"
SCRIABIN: Vers la flamme,"250"
Armada: Music from the Courts of England and Spain,"251"
Mozart: Symphonies Nos. 40 & 41,"248"
Back to Black,"252"
Frank,"252"
Carried to Dust (Bonus Track Version),"253"
Beethoven: Symphony No. 6 'Pastoral' Etc.,"254"
Bartok: Violin & Viola Concertos,"255"
Mendelssohn: A Midsummer Night's Dream,"256"
Bach: Orchestral Suites Nos. 1 - 4,"257"
"Charpentier: Divertissements, Airs & Concerts","258"
South American Getaway,"259"
Górecki: Symphony No. 3,"260"
Purcell: The Fairy Queen,"261"
The Ultimate Relexation Album,"262"
Purcell: Music for the Queen Mary,"263"
Weill: The Seven Deadly Sins,"264"
"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro","265"
Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,"248"
"Szymanowski: Piano Works, Vol. 1","266"
Nielsen: The Six Symphonies,"267"
Great Recordings of the Century: Paganini's 24 Caprices,"268"
Liszt - 12 Études D'Execution Transcendante,"269"
"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder","270"
"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3","271"
Respighi:Pines of Rome,"226"
Schubert: The Late String Quartets & String Quintet (3 CD's),"272"
Monteverdi: L'Orfeo,"273"
Mozart: Chamber Music,"274"
Koyaanisqatsi (Soundtrack from the Motion Picture),"275"
